,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Triệu đồng
786,Quận Thanh Xuân,Phường Thanh Xuân Nam,"Nhà ngõ, hẻm",Đã có sổ,4,5,44.0,11.0,4.0,3600.08
787,Quận Hoàng Mai,Phường Yên Sở,"Nhà ngõ, hẻm",Đã có sổ,4,3,47.0,8.0,6.0,2600.04
788,Quận Thanh Xuân,Phường Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,8,56.6,12.2,4.6,8085.876000000001
789,Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà mặt phố, mặt tiền",Đã có sổ,6,10,65.0,16.0,4.0,7250.1
790,Quận Hoàng Mai,Phường Thanh Trì,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,30.0,6.0,5.0,3800.1
791,Quận Nam Từ Liêm,Phường Đại Mỗ,"Nhà ngõ, hẻm",Đã có sổ,5,5,42.0,10.0,4.2,2599.7999999999997
792,Quận Ba Đình,Phường Kim Mã,Nhà biệt thự,Không rõ,5,5,59.0,10.0,6.3,6500.03
793,Huyện Gia Lâm,Thị trấn Trâu Quỳ,"Nhà mặt phố, mặt tiền",Đã có sổ,1,2,34.0,10.0,3.5,2500.02
794,Quận Thanh Xuân,Phường Thanh Xuân Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,60.0,10.0,6.0,9000.0
795,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,10.0,4.0,1880.0
796,Quận Ba Đình,Phường Cống Vị,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,45.0,5.0,10.0,10800.0
797,Quận Hà Đông,Phường Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,5,3,33.0,8.0,4.0,2649.9
798,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,3,4,58.0,10.0,6.0,1720.28
799,Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,4,4,80.0,16.0,5.0,5700.0
800,Huyện Hoài Đức,Xã An Khánh,"Nhà ngõ, hẻm",Đã có sổ,3,3,31.0,10.0,3.2,1500.09
801,Quận Thanh Xuân,Phường Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,43.0,9.0,4.7,3750.0299999999997
802,Huyện Gia Lâm,Thị trấn Yên Viên,"Nhà ngõ, hẻm",Đã có sổ,3,3,72.0,14.4,5.16,6199.92
803,Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,9.0,4.5,3400.0
804,Quận Hà Đông,Phường Đồng Mai,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.6,10.0,3.3,1477.1060000000002
805,Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,3,3,35.0,9.5,3.3,1649.9
806,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.0,10.0,3.2,1600.0
807,Quận Đống Đa,Phường Trung Phụng,"Nhà ngõ, hẻm",Đã có sổ,4,4,33.0,9.0,3.5,2749.89
808,Huyện Gia Lâm,Xã Cổ Bi,"Nhà ngõ, hẻm",Đã có sổ,2,3,67.0,12.0,5.0,1500.13
809,Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,5,5,40.0,11.0,3.7,4450.0
810,Quận Thanh Xuân,Phường Kim Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,48.0,12.0,4.0,3000.0
811,Quận Hoàng Mai,Phường Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,10.0,4.0,3190.0
812,Quận Hoàng Mai,Phường Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,37.0,11.0,3.4,2649.94
813,Quận Thanh Xuân,Phường Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,32.0,8.0,4.0,2849.92
814,Quận Hà Đông,Phường La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,31.0,11.0,3.0,3379.93
815,Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,3,36.0,9.0,4.0,3600.0
816,Quận Ba Đình,Phường Ngọc Khánh,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,9.0,4.0,3650.15
817,Quận Thanh Xuân,Phường Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,43.0,10.0,4.2,7101.0199999999995
818,Quận Hà Đông,Phường Phú Lương,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,10.0,3.5,1500.1
819,Quận Ba Đình,Phường Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,5,5,40.0,10.0,4.0,4550.0
820,Quận Long Biên,Phường Cự Khối,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.0,4.0,8.0,1689.92
821,Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,4,3,42.0,10.8,4.0,2599.7999999999997
822,Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,42.0,10.2,4.0,2850.12
823,Quận Ba Đình,Phường Phúc Xá,"Nhà ngõ, hẻm",Đã có sổ,4,3,44.0,6.0,7.0,2699.84
824,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,2,2,50.0,12.0,4.0,2000.0
825,Quận Đống Đa,Phường Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,5,2,30.0,10.0,3.0,3099.9
826,Quận Hai Bà Trưng,Phường Đồng Tâm,"Nhà ngõ, hẻm",Đã có sổ,4,5,79.0,19.7,4.0,5699.85
827,Huyện Thanh Trì,Xã Tam Hiệp,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,50.0,16.0,4.0,2300.0
828,Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,50.0,12.0,4.0,4400.0
829,Quận Hoàng Mai,Phường Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,50.0,10.0,5.5,5700.0
830,Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",Đã có sổ,2,2,32.0,8.0,4.0,1390.08
831,Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,4,4,46.0,12.0,4.0,4600.0
832,Quận Long Biên,Phường Gia Thụy,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,65.0,9.0,7.0,2700.1
833,Quận Đống Đa,Phường Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,5,4,36.0,9.0,4.0,3999.96
834,Quận Hai Bà Trưng,Phường Trương Định,"Nhà mặt phố, mặt tiền",Đã có sổ,6,11,65.0,16.0,4.0,7499.7
835,Quận Đống Đa,Phường Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,9.0,3.8,3699.9
836,Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,4,43.0,7.2,6.0,5700.08
837,Quận Hoàng Mai,Phường Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,5,6,53.0,13.5,4.0,4400.0599999999995
838,Quận Nam Từ Liêm,Phường Mỹ Đình 2,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,6.6,4.6,3200.1
839,Quận Bắc Từ Liêm,Phường Phú Diễn,"Nhà ngõ, hẻm",Đã có sổ,3,3,30.0,7.5,4.0,1800.0
840,Quận Hai Bà Trưng,Phường Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,4,3,23.0,8.0,3.0,1830.11
841,Quận Nam Từ Liêm,Phường Trung Văn,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,42.0,12.0,3.5,5000.099999999999
842,Quận Nam Từ Liêm,Phường Đại Mỗ,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,13.0,3.4,2799.9
843,Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",Đã có sổ,5,4,30.0,8.0,4.1,3500.1
844,Quận Ba Đình,Phường Kim Mã,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,31.0,7.0,5.0,2799.9199999999996
845,Quận Ba Đình,Phường Vĩnh Phúc,Nhà phố liền kề,Đã có sổ,4,4,80.0,17.8,4.5,9400.0
846,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,10.0,3.5,1649.9
847,Quận Bắc Từ Liêm,Phường Minh Khai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,38.0,10.0,4.0,3800.0
848,Quận Thanh Xuân,Phường Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,40.0,5.0,8.0,2900.0
849,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,4,3,30.0,8.0,4.9,3050.1
850,Quận Hoàng Mai,Phường Hoàng Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,34.0,10.0,4.0,2320.16
851,Quận Ba Đình,Phường Phúc Xá,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,50.0,15.0,3.3,5150.0
852,Quận Nam Từ Liêm,Phường Mễ Trì,"Nhà ngõ, hẻm",Đã có sổ,5,3,33.0,9.0,3.6,2700.06
853,Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,3,3,33.0,8.0,4.0,1629.8700000000001
854,Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,30.0,9.0,3.5,3000.0
855,Quận Hà Đông,Phường Dương Nội,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,38.0,11.0,3.5,2270.12
856,Quận Long Biên,Phường Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,4,4,31.7,1.09,3.14,2403.177
857,Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,5,35.0,9.0,4.0,3500.0
858,Quận Hà Đông,Phường Nguyễn Trãi,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,38.0,10.0,4.0,2799.84
859,Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,5,4,31.0,7.8,4.0,2890.13
860,Quận Hà Đông,Phường Hà Cầu,"Nhà mặt phố, mặt tiền",Đã có sổ,4,5,36.0,9.0,4.0,2599.92
861,Quận Hai Bà Trưng,Phường Quỳnh Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,10.5,3.8,3400.0
862,Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,8.2,3.9,3349.85
863,Quận Hoàng Mai,Phường Thanh Trì,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,10.0,4.0,2500.0
864,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,4,32.0,8.0,4.0,2350.08
865,Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",Không rõ,4,2,25.0,6.0,4.7,2200.0
866,Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,3,3,33.0,10.0,3.3,2400.09
867,Quận Ba Đình,Phường Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,11.5,4.0,5800.0
868,Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,6,4,40.0,9.0,4.5,3200.0
869,Quận Cầu Giấy,Phường Nghĩa Tân,"Nhà ngõ, hẻm",Đã có sổ,5,5,65.0,17.0,3.7,11499.8
870,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,9.0,4.0,2950.15
871,Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4,3,22.0,11.0,2.1,1800.04
872,Quận Nam Từ Liêm,Phường Phương Canh,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,31.0,5.4,5.8,2449.93
873,Quận Hà Đông,Phường La Khê,Nhà phố liền kề,Đã có sổ,5,3,52.0,12.0,4.0,5349.76
874,Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,4,43.0,11.0,4.0,3700.15
875,Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,6.0,6.0,4099.9
876,Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,4,30.0,10.0,3.5,3750.0
877,Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,9.0,4.0,2850.0
878,Quận Đống Đa,Phường Hàng Bột,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,30.0,5.0,6.0,3950.0999999999995
879,Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà mặt phố, mặt tiền",Đã có sổ,1,1,37.0,10.0,3.5,2180.04
880,Quận Long Biên,Phường Đức Giang,"Nhà ngõ, hẻm",Đã có sổ,2,2,40.0,10.0,4.0,2500.0
881,Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,6,46.0,13.0,4.0,5600.04
882,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,34.0,10.0,3.4,1679.9399999999998
883,Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,5,6,71.0,20.3,3.5,10500.189999999999
884,Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,8.0,5.0,2150.0
885,Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,4,60.0,12.0,5.0,9499.800000000001
886,Quận Cầu Giấy,Phường Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,5,5,50.0,10.5,4.8,4300.0
887,Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,8.0,5.0,3650.0
888,Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,5,4,52.0,13.0,4.0,5200.0
889,Quận Long Biên,Phường Bồ Đề,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,47.0,12.0,4.0,4800.11
890,Quận Đống Đa,Phường Láng Thượng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,62.0,16.0,4.0,7950.259999999999
891,Huyện Mê Linh,Thị trấn Quang Minh,Nhà biệt thự,Đã có sổ,3,7,400.0,42.0,9.0,4300.0
892,Huyện Hoài Đức,Xã Đông La,"Nhà ngõ, hẻm",Đã có sổ,3,3,34.0,10.0,3.4,1319.88
893,Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4,4,38.0,9.5,4.0,2850.0
894,Quận Hà Đông,Phường Đồng Mai,"Nhà ngõ, hẻm",Đã có sổ,3,3,32.0,8.8,3.6,1190.08
895,Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,3,2,35.0,11.0,3.0,2800.0
896,Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,4,46.0,13.0,3.5,3300.04
897,Quận Hoàng Mai,Phường Đại Kim,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,45.0,9.0,5.0,5200.2
898,Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,36.0,9.0,4.0,2599.92
899,Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,4,4,47.0,12.0,3.9,4400.14
900,Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,12.0,3.6,4000.0
901,Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,12.0,3.6,4000.0
902,Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,2,2,33.4,10.0,3.5,1670.0
903,Quận Đống Đa,Phường Văn Chương,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,35.0,35.0,2399.95
904,Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,10.0,3.5,1719.9
905,Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,4,2,32.0,10.0,3.2,3200.0
906,Quận Thanh Xuân,Phường Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,50.0,10.0,5.0,6000.0
907,Quận Thanh Xuân,Phường Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,5,3,32.0,9.0,3.5,3000.0
908,Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,5,5,53.0,13.0,4.0,3099.9700000000003
909,Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,5,3,34.0,8.0,4.0,3300.04
910,Quận Thanh Xuân,Phường Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,6,4,40.0,10.0,4.2,4800.0
911,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,38.0,10.0,3.8,1969.92
912,Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,50.0,10.0,5.0,3800.0
913,Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,5,5,33.0,10.0,4.0,2700.06
914,Quận Hà Đông,Phường La Khê,Nhà phố liền kề,Đã có sổ,4,4,82.0,16.5,5.0,6850.280000000001
915,Quận Thanh Xuân,Phường Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,10.0,4.0,4000.0
916,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,34.0,10.0,3.4,1749.98
917,Huyện Thanh Trì,Xã Tân Triều,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,10.0,4.0,4000.0
918,Quận Đống Đa,Phường Văn Chương,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,9.0,4.0,2699.9
919,Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,4,4,43.0,11.0,3.8,3049.9900000000002
920,Quận Đống Đa,Phường Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,4,4,46.0,12.0,4.0,3500.1400000000003
921,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,4,33.0,10.3,3.3,2300.1
922,Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,3,3,30.0,5.5,5.5,2799.9
923,Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,3,3,65.0,16.0,4.0,3400.15
924,Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,4,53.0,13.0,3.8,5499.8099999999995
925,Quận Đống Đa,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,4,3,18.0,5.0,4.0,1749.96
926,Quận Đống Đa,Phường Phương Liên,"Nhà ngõ, hẻm",Đã có sổ,5,3,46.0,10.0,4.6,4600.0
927,Quận Hoàng Mai,Phường Đại Kim,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,37.0,9.5,4.0,2999.96
928,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,4,32.0,8.6,3.5,1950.08
929,Quận Đống Đa,Phường Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,6,3,32.0,9.0,4.0,5800.0
930,Quận Hoàn Kiếm,Phường Phan Chu Trinh,"Nhà ngõ, hẻm",Đã có sổ,1,2,40.0,8.0,5.0,5000.0
931,Huyện Thường Tín,Xã Khánh Hà,"Nhà ngõ, hẻm",Đã có sổ,4,4,196.0,25.0,7.92,5499.759999999999
932,Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,6,5,33.0,10.0,3.5,3000.0299999999997
933,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,4,33.0,8.0,4.0,2300.1
934,Quận Long Biên,Phường Thượng Thanh,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,64.0,16.0,4.0,5500.16
935,Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,35.0,35.0,3099.95
936,Quận Cầu Giấy,Phường Nghĩa Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,7,11,70.0,18.0,4.0,17.009999999999998
937,Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,9.0,3.6,2400.0
938,Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,5,6,47.0,13.4,3.5,4650.18
939,Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,10.0,4.0,4300.0
940,Quận Hai Bà Trưng,Phường Cầu Dền,"Nhà ngõ, hẻm",Đã có sổ,4,2,25.0,7.0,3.1,2200.0
941,Quận Hoàng Mai,Phường Mai Động,"Nhà ngõ, hẻm",Đã có sổ,4,3,38.0,9.0,4.2,2799.84
942,Quận Thanh Xuân,Phường Khương Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,4,5,68.0,17.0,4.0,8550.32
943,Quận Hà Đông,Phường Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,9.0,35.0,1899.8999999999999
944,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,3,3,40.0,11.0,3.0,1380.0
945,Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,4,4,62.0,12.0,5.0,3339.94
946,Quận Hai Bà Trưng,Phường Bách Khoa,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,9.0,3.5,2700.0
947,Quận Đống Đa,Phường Trung Phụng,"Nhà ngõ, hẻm",Đã có sổ,4,3,25.0,5.0,5.0,2500.0
948,Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,9.0,4.0,3600.1
949,Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,4,4,56.0,13.5,4.0,7800.24
950,Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,4,4,38.0,9.5,4.1,3350.08
951,Quận Đống Đa,Phường Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,8.0,5.0,3600.0
952,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,10.0,35.0,1400.0
953,Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,4,3,20.0,7.0,3.0,2300.0
954,Quận Tây Hồ,Phường Phú Thượng,"Nhà ngõ, hẻm",Đã có sổ,4,2,30.0,8.0,3.0,1500.0
955,Quận Hai Bà Trưng,Phường Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,7.0,5.0,2800.0
956,Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.0,8.0,3.6,3000.0
957,Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,9.0,4.0,2649.85
958,Quận Thanh Xuân,Phường Khương Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,34.0,10.0,3.4,3590.06
959,Quận Hai Bà Trưng,Phường Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,5,3,31.0,8.0,4.0,3950.02
960,Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,3,3,37.0,12.0,3.6,3719.98
961,Quận Long Biên,Phường Thạch Bàn,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,75.0,15.0,5.0,7800.0
962,Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,3,44.0,11.0,4.0,2900.04
963,Quận Đống Đa,Phường Văn Chương,"Nhà ngõ, hẻm",Đã có sổ,4,3,36.0,10.18,3.48,2649.96
964,Quận Đống Đa,Phường Khương Thượng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,30.0,6.0,5.0,3950.0999999999995
965,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,3,3,32.0,8.6,3.6,1249.92
966,Quận Thanh Xuân,Phường Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,41.0,9.0,4.5,7099.969999999999
967,Huyện Thanh Trì,Xã Vĩnh Quỳnh,"Nhà ngõ, hẻm",Đã có sổ,3,3,47.0,9.59,4.9,2149.78
968,Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,3,3,43.0,11.0,4.0,3500.2000000000003
969,Quận Hoàng Mai,Phường Yên Sở,"Nhà ngõ, hẻm",Đã có sổ,4,3,45.0,8.0,6.0,2749.95
970,Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,3,31.0,9.0,3.6,101.99
971,Quận Đống Đa,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,60.0,10.0,6.0,3880.2000000000003
972,Quận Long Biên,Phường Long Biên,"Nhà ngõ, hẻm",Đã có sổ,3,3,47.0,10.5,4.5,53.10999999999999
973,Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,5,35.0,10.0,3.5,3500.0
974,Quận Nam Từ Liêm,Phường Phú Đô,"Nhà ngõ, hẻm",Đã có sổ,5,3,32.0,10.0,3.0,3150.08
975,Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,8.5,4.0,3099.95
976,Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,3,3,44.0,11.0,4.0,2650.12
977,Quận Long Biên,Phường Phúc Lợi,"Nhà ngõ, hẻm",Đã có sổ,5,2,38.0,4.0,3.3,2099.88
978,Huyện Thanh Trì,Xã Tân Triều,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,8.0,4.0,2400.0
979,Quận Đống Đa,Phường Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,3,2,25.0,6.5,3.8,1989.9999999999998
980,Quận Đống Đa,Phường Trung Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,45.0,9.0,5.0,3600.0
981,Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,5,40.0,8.0,5.0,2650.0
982,Quận Đống Đa,Phường Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,5,3,33.0,12.0,4.0,4099.92
983,Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,3,42.0,7.0,6.0,6050.1
984,Quận Hai Bà Trưng,Phường Minh Khai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,40.0,13.5,3.0,4800.0
